name,calories,fat,proteins,carbohydrate,Meal Type
hazelnuts roasted,194.0,18.7,4.5,5.3,Lunch
lupins cooked,193.0,4.8,25.8,15.4,Lunch
hazelnuts blanched,178.0,17.3,3.9,4.8,Lunch
brazilnuts dried,33.0,3.3,0.7,0.6,Lunch
sunflower seeds dry roasted,47.0,4.0,1.5,1.9,Lunch
ginkgo nuts canned,172.0,2.5,3.5,34.3,Lunch
peanuts cooked,572.0,39.6,24.3,38.3,Lunch
pumpkin squash seeds dried,721.0,63.3,39.0,13.8,Lunch
cashew nuts raw,156.0,12.4,5.2,8.5,Lunch
sunflower seeds dried,269.0,23.7,9.6,9.2,Lunch
lotus seeds dried,106.0,0.6,4.9,20.6,Lunch
butternuts dried,734.0,68.4,29.9,14.5,Lunch
sesame seeds dried,52.0,4.5,1.6,2.1,Drink
breadfruit seeds,57.0,1.7,2.2,8.8,Carbs
pinyon pine nuts dried,1.0,0.073,0.083,0.01,Lunch
pine nuts dried,909.0,92.3,18.5,17.7,Lunch
flaxseeds,55.0,4.3,1.9,3.0,Lunch
safflower seed kernels dried,146.0,10.9,4.6,9.7,Lunch
pistachio nuts raw,691.0,55.8,24.9,33.8,Lunch
peanuts raw,828.0,71.9,37.7,23.5,Lunch
poppy seeds,46.0,3.7,1.6,2.5,Lunch
valencia peanuts raw,832.0,69.5,36.6,30.5,Lunch
spanish peanuts,832.0,72.4,38.2,23.1,Lunch
dill seeds,20.0,1.0,1.1,3.6,Lunch
caraway seeds,22.0,1.0,1.3,3.3,Lunch
acorn raw,110.0,6.8,1.7,11.5,Carbs
almonds roasted,182.0,16.6,6.4,5.3,Lunch
lotus seeds raw,25.0,0.1,1.2,4.9,Lunch
chestnuts cooked,37.0,0.4,0.6,7.9,Drink
alfalfa seeds,1.0,0.075,0.1,0.002,Lunch
virginia peanuts roasted,173.0,14.6,7.8,6.0,Lunch
hazelnuts raw,471.0,45.6,11.2,12.5,Lunch
anise seeds,7.0,0.3,0.4,1.1,Lunch
macadamia nuts roasted,215.0,22.8,2.3,4.0,Lunch/Dinner
studentenfutter alnatura,139.0,7.8,3.1,13.2,Lunch
pumpkin squash seeds roasted,46.0,3.9,2.4,1.2,Lunch
water chestnut raw,120.0,0.1,1.7,29.7,Drink
chestnuts roasted,37.0,0.3,0.5,7.9,Drink
ginkgo nuts raw,52.0,0.5,1.2,10.6,Lunch
almonds raw,9.0,0.7,0.3,0.3,Lunch
peanuts roasted,180.0,15.8,8.4,4.6,Lunch
sunflower seeds toasted,829.0,76.1,23.1,27.6,Breakfast
sisymbrium seeds,235.0,3.4,9.0,43.1,Lunch
breadnut tree seeds dried,587.0,2.7,13.8,127.0,Carbs
pecans raw,753.0,78.4,10.0,15.1,Lunch
chia seeds dried,138.0,8.7,4.7,11.9,Lunch
japanese chestnuts roasted,57.0,0.2,0.8,12.8,Drink
sesame seeds toasted,45.0,3.8,1.4,2.1,Drink
cashew nuts roasted,174.0,14.3,5.1,9.0,Lunch
lupins raw,668.0,17.5,65.1,72.7,Lunch
mustard seeds ground,10.0,0.7,0.5,0.6,Lunch
mixed nuts roasted,178.0,15.4,5.2,7.6,Lunch/Dinner
salat mix alestro,61.0,5.2,0.0,2.4,Drink
chestnuts raw,309.0,3.3,3.5,66.0,Drink
pistachio nuts roasted,172.0,13.7,6.3,8.5,Lunch
walnut,33.0,3.3,0.8,0.7,Lunch
celery seeds,25.0,1.6,1.2,2.7,Lunch
hickorynuts dried,788.0,77.2,15.3,21.9,Lunch
spanish peanuts roasted,851.0,72.1,41.2,25.7,Lunch
woca seeds dried,102.0,0.3,2.2,22.6,Lunch
pecans roasted,215.0,22.6,2.8,3.9,Lunch
fennel seeds,7.0,0.3,0.3,1.0,Lunch
chinese chestnuts roasted,68.0,0.3,1.3,14.8,Drink
watermelon seed kernels dried,602.0,51.2,30.6,16.5,Lunch
macadamia nuts raw,38.0,4.0,0.4,0.7,Lunch/Dinner
pectin,163.0,0.2,0.2,45.2,Lunch
black walnut dried,31.0,3.0,1.2,0.5,Lunch
water chestnut canned,70.0,0.015,1.2,17.2,Drink
ginkgo nuts dried,98.0,0.6,2.9,20.5,Lunch
virginia peanuts raw,822.0,71.2,36.8,24.1,Lunch
valencia peanuts roasted,177.0,15.4,8.1,4.9,Lunch
nesfit diet cereal nestle,75.0,0.0,0.0,0.0,Drink
corn grits cooked,182.0,1.2,4.4,37.9,Carbs
amaranth flakes,134.0,2.7,5.9,27.0,Drink
granola,293.0,14.6,8.2,32.3,Lunch
muesli with fruit nuts,231.0,3.4,4.3,45.7,Drink
muesli master crumble,124.0,2.4,2.4,4.5,Drink
bran flakes,131.0,0.8,4.0,32.2,Drink
nut cereal,245.0,5.9,4.0,46.2,Carbs
corn flakes,108.0,0.3,1.7,24.6,Drink
corn grits dry,36.0,0.2,0.7,7.7,Carbs
chocolate pudding fat free,105.0,0.3,2.2,23.6,Snack
tapioca pudding,143.0,4.3,2.1,23.9,Lunch
tapioca pudding fat free,105.0,0.4,1.6,23.9,Lunch
rice pudding,122.0,2.4,3.6,20.8,Carbs
corn pudding,328.0,12.6,11.1,42.4,Carbs
chocolate pudding,213.0,6.9,3.1,34.5,Snack
lemon pudding,173.0,4.4,4.1,30.2,Lunch
vanilla pudding,195.0,5.7,2.2,33.9,Lunch
profeel proteiinirahka valio,140.0,0.4,175.0,19.3,Lunch
cottage cheese creamed,20.0,0.9,2.2,0.7,Drink
zaziki milfina,51.0,4.4,0.0,0.0,Lunch/Dinner
cottage cheese low fat,163.0,2.3,28.0,6.1,Drink
cottage cheese nonfat,104.0,0.4,15.0,9.7,Drink
vanilla yogurt low fat,208.0,3.1,12.1,33.8,Breakfast
classique yogurt plain 2 liberte,30.0,1.2,3.3,1.7,Breakfast
yoplait light strawberry yogurt yoplait,79.0,0.0,0.0,0.074,Breakfast
vanilla yogurt,145.0,2.1,8.4,23.5,Breakfast
chocolate yogurt,168.0,0.0,5.3,35.3,Breakfast
yogurt parfait,125.0,1.5,5.0,23.6,Breakfast
yogurt,92.0,4.9,5.2,7.0,Breakfast
chocolate frozen yogurt,221.0,6.3,5.2,37.6,Breakfast
frozen yogurt,221.0,6.3,5.2,37.6,Breakfast
yogurt low fat,154.0,3.8,12.9,17.2,Breakfast
vanilla yoghurt oikos,120.0,1.8,0.0,0.0,Lunch
fruit yogurt,149.0,1.7,6.0,28.0,Breakfast
danone low fat alsafi,88.0,1.7,0.0,0.089,Lunch
fruit n yogurt parfait mcdonalds,156.0,1.9,4.1,30.9,Breakfast
triple zero greek yogurt dannon oikos,120.0,0.0,0.038,22.5,Breakfast
greek yogurt,100.0,0.7,17.3,6.1,Breakfast
chocolate rasberry protein mini proteinfx,102.0,2.9,0.0,0.0,Lunch/Dinner
gushers fruit gushers,360.0,6.0,0.0,0.2,Lunch
egg fried,90.0,6.8,6.3,0.4,Breakfast
glucerna abbott,1010.0,35.6,0.0,120.9,Lunch
sports drink,26.0,0.0,0.0,7.2,Drink
peanut butter cookie protein syntha 6,200.0,6.0,0.0,5.0,Snack
hanfprotein pulver rohkostqualitat veganz,107.0,3.1,0.0,14.2,Lunch
smoothie high protein creamy chocolate slimfast,110.0,3.5,12.0,2.1,Snack
egg large,138.0,9.3,0.0,0.0,Breakfast
boysenberries frozen,66.0,0.3,1.5,16.1,Drink
malt beverage,88.0,0.3,0.5,19.1,Drink
chocolate powder for milk,88.0,0.5,1.0,19.9,Drink
vegetable fruit juice,9.0,0.017,0.071,2.2,Drink
cocoa powder unsweetened,12.0,0.7,1.1,3.1,Lunch
coconut milk,35.0,3.6,0.3,0.8,Drink
cocoa powder,28.0,0.3,0.5,5.9,Lunch
rice drink,113.0,2.3,0.7,22.0,Drink
coconut water,46.0,0.5,1.7,8.9,Lunch
caramel med iced coffee dunkin donuts,268.0,9.0,0.0,0.0,Drink
instant coffee with water decaffeinated,4.0,0.0,0.2,0.8,Drink
instant coffee powder,353.0,0.5,12.2,75.4,Drink
instant coffee powder decaffeinated,6.0,0.069,0.2,1.4,Drink
instant cappuccino powder,53.0,0.7,0.4,11.2,Lunch
coffee decaffeinated,0.0,0.0,0.2,0.0,Drink
espresso decaffeinated,3.0,0.011,0.065,0.5,Drink
instant coffee with water,4.0,0.0,0.2,0.6,Drink
coffee,2.0,0.069,0.3,0.0,Drink
espresso,3.0,0.086,0.021,0.5,Drink
whey protein powder vanilla eas,108.0,1.7,0.0,0.0,Lunch
energy drink sugar free red bull,13.0,0.2,0.6,1.8,Drink
powerade coca cola,9.0,0.009,0.0,2.3,Lunch
amp energy pepsi,110.0,0.2,0.6,29.0,Lunch
gatorade g2 pepsi,2.0,0.052,0.069,0.6,Lunch
amp energy sugar free pepsi,5.0,0.0,0.0,2.5,Lunch
energy drink red bull,111.0,0.0,1.2,26.4,Drink
powerade zero ion4 coca cola,0.0,0.0,0.0,0.0,Lunch
full throttle coca cola,110.0,0.2,0.6,29.0,Lunch
passion fruit juice purple,148.0,0.4,1.7,35.7,Drink
pomegranate juice,134.0,0.7,0.4,32.7,Drink
cranberry apricot juice,157.0,0.0,0.5,39.7,Drink
pineapple juice,133.0,0.3,0.9,32.2,Drink
passion fruit juice yellow,126.0,0.1,1.0,33.6,Drink
orange apricot juice,128.0,0.3,0.8,31.8,Drink
tangerine juice,106.0,0.5,1.2,24.9,Drink
orange juice,90.0,0.4,1.4,20.8,Drink
grapefruit juice,96.0,0.2,1.2,22.7,Drink
pineapple grapefruit juice,118.0,0.3,0.5,29.0,Drink
tamarind nectar,143.0,0.3,0.2,37.0,Lunch
apple juice,114.0,0.3,0.2,28.0,Drink
limeade,128.0,0.0,0.0,34.1,Lunch
guava nectar,158.0,0.2,0.2,40.8,Lunch
orange grapefruit juice,106.0,0.2,1.5,25.4,Drink
orange juice sainsburys,14.0,0.088,0.0,0.0,Drink
cranberry apple juice,154.0,0.3,0.0,38.8,Drink
pineapple orange juice,125.0,0.0,3.3,29.5,Drink
pear nectar,150.0,0.062,0.3,39.4,Lunch
blackberry juice,95.0,1.5,0.8,19.5,Drink
lemon juice,54.0,0.6,0.9,16.6,Drink
cranberry grape juice,137.0,0.2,0.5,34.3,Drink
citrus fruit juice,114.0,0.057,0.8,28.3,Drink
prune juice,182.0,0.006,1.6,44.7,Drink
guanabana nectar,148.0,0.4,0.3,37.5,Lunch
fruit juice,108.0,0.1,0.3,26.3,Drink
horchata,15.0,0.2,0.1,3.3,Lunch
fruit punch,98.0,0.4,0.2,24.4,Lunch
apricot nectar,139.0,0.2,0.9,35.7,Lunch
orangensaft ja,86.0,0.0,0.0,1.4,Lunch
fruchtcocktail granini,102.0,0.4,0.0,1.0,Lunch
peach nectar,125.0,1.3,0.5,29.7,Lunch
orange pineapple juice,15.0,0.08,0.1,3.6,Drink
cranberry juice,92.0,0.3,0.8,24.4,Drink
white grapefruit juice,96.0,0.2,1.2,22.7,Drink
mango nectar,128.0,0.2,0.3,32.9,Lunch
acerola cherry juice,56.0,0.7,1.0,11.6,Drink
apple juice concentrate,350.0,0.8,1.1,86.5,Drink
papaya nectar,143.0,0.4,0.4,36.3,Lunch
apple juice martinellis,122.0,0.0,0.0,0.0,Drink
lime juice,61.0,0.2,1.0,20.4,Drink
grape juice,152.0,0.3,0.9,37.4,Drink
water dannon,0.0,0.0,0.0,0.0,Lunch
tap water,0.0,0.0,0.0,0.0,Lunch
table water,0.0,0.0,0.0,0.0,Lunch
fruit flavored water,52.0,0.0,0.0,13.0,Lunch
water,0.0,0.0,0.0,0.0,Lunch
cola light coca cola,0.0,0.0,0.0,0.0,Lunch
lemon lime soda,151.0,0.0,0.3,38.4,Drink
tonic water,114.0,0.0,0.0,29.6,Lunch
lemonade low calorie,7.0,0.0,0.092,1.6,Lunch
ginger ale,68.0,0.0,0.0,17.5,Lunch
ice tea lemon flavor nestle,88.0,0.0,0.0,22.3,Drink
sprite coca cola,80.0,0.063,0.1,20.3,Lunch
cola coca cola,151.0,0.0,0.0,38.9,Lunch
cola,74.0,0.07,0.1,19.1,Lunch
cream soda,252.0,0.0,0.0,65.7,Drink
club soda,0.0,0.0,0.0,0.0,Drink
pink lemonade,86.0,0.3,0.1,21.6,Lunch
grape soda,160.0,0.0,0.0,41.7,Drink
cola without caffeine coca cola,151.0,0.0,0.0,38.9,Lunch
white lemonade,80.0,0.003,0.1,20.8,Lunch
chocolate soda,207.0,0.0,0.0,52.6,Drink
sweet tea lipton,130.0,0.0,0.0,35.0,Drink
hibiscus tea,74.0,1.3,0.9,14.8,Drink
instant lemon tea,2.0,0.0,0.1,0.3,Drink
pesca tea santal,116.0,0.0,0.0,0.0,Drink
instant lemon tea sweetened,91.0,0.2,0.071,22.3,Drink
tea with milk and sugar yorkshire,15.0,0.5,0.0,0.4,Drink
tea blueberry muffin tekanne,4.0,0.2,0.0,0.4,Drink
chamomile tea,2.0,0.0,0.0,0.4,Drink
black tea,2.0,0.0,0.0,0.7,Drink
herb tea,2.0,0.0,0.0,0.4,Drink
clam tomato juice,80.0,0.3,1.0,18.2,Drink
tomato juice,41.0,0.7,2.1,8.6,Drink
vegetable juice,53.0,0.2,1.5,11.1,Drink
tomato vegetable juice,53.0,0.2,1.5,11.1,Drink
carrot juice,80.0,0.3,1.9,18.6,Drink
acorn dried,144.0,8.9,2.3,15.2,Carbs
fenugreek seeds,36.0,0.7,2.6,6.5,Lunch
peanut topping mcdonalds,181.0,15.0,7.9,4.6,Lunch
beechnuts dried,173.0,15.0,1.9,10.1,Lunch
breadnut tree seeds raw,61.0,0.3,1.7,13.1,Carbs
cumin seeds,8.0,0.5,0.4,0.9,Lunch/Dinner
pili nuts dried,863.0,95.5,13.0,4.8,Lunch
hazelnuts roasted,194.0,18.7,4.5,5.3,Lunch
lupins cooked,193.0,4.8,25.8,15.4,Lunch
hazelnuts blanched,178.0,17.3,3.9,4.8,Lunch
brazilnuts dried,33.0,3.3,0.7,0.6,Lunch
sunflower seeds dry roasted,47.0,4.0,1.5,1.9,Lunch
ginkgo nuts canned,172.0,2.5,3.5,34.3,Lunch
peanuts cooked,572.0,39.6,24.3,38.3,Lunch
pumpkin squash seeds dried,721.0,63.3,39.0,13.8,Lunch
cashew nuts raw,156.0,12.4,5.2,8.5,Lunch
sunflower seeds dried,269.0,23.7,9.6,9.2,Lunch
lotus seeds dried,106.0,0.6,4.9,20.6,Lunch
butternuts dried,734.0,68.4,29.9,14.5,Lunch
sesame seeds dried,52.0,4.5,1.6,2.1,Drink
breadfruit seeds,57.0,1.7,2.2,8.8,Carbs
pinyon pine nuts dried,1.0,0.073,0.083,0.01,Lunch
pine nuts dried,909.0,92.3,18.5,17.7,Lunch
flaxseeds,55.0,4.3,1.9,3.0,Lunch
safflower seed kernels dried,146.0,10.9,4.6,9.7,Lunch
pistachio nuts raw,691.0,55.8,24.9,33.8,Lunch
peanuts raw,828.0,71.9,37.7,23.5,Lunch
poppy seeds,46.0,3.7,1.6,2.5,Lunch
valencia peanuts raw,832.0,69.5,36.6,30.5,Lunch
spanish peanuts,832.0,72.4,38.2,23.1,Lunch
dill seeds,20.0,1.0,1.1,3.6,Lunch
caraway seeds,22.0,1.0,1.3,3.3,Lunch
acorn raw,110.0,6.8,1.7,11.5,Carbs
almonds roasted,182.0,16.6,6.4,5.3,Lunch
lotus seeds raw,25.0,0.1,1.2,4.9,Lunch
chestnuts cooked,37.0,0.4,0.6,7.9,Drink
alfalfa seeds,1.0,0.075,0.1,0.002,Lunch
virginia peanuts roasted,173.0,14.6,7.8,6.0,Lunch
hazelnuts raw,471.0,45.6,11.2,12.5,Lunch
anise seeds,7.0,0.3,0.4,1.1,Lunch
macadamia nuts roasted,215.0,22.8,2.3,4.0,Lunch/Dinner
studentenfutter alnatura,139.0,7.8,3.1,13.2,Lunch
pumpkin squash seeds roasted,46.0,3.9,2.4,1.2,Lunch
water chestnut raw,120.0,0.1,1.7,29.7,Drink
chestnuts roasted,37.0,0.3,0.5,7.9,Drink
ginkgo nuts raw,52.0,0.5,1.2,10.6,Lunch
almonds raw,9.0,0.7,0.3,0.3,Lunch
peanuts roasted,180.0,15.8,8.4,4.6,Lunch
sunflower seeds toasted,829.0,76.1,23.1,27.6,Breakfast
sisymbrium seeds,235.0,3.4,9.0,43.1,Lunch
breadnut tree seeds dried,587.0,2.7,13.8,127.0,Carbs
pecans raw,753.0,78.4,10.0,15.1,Lunch
chia seeds dried,138.0,8.7,4.7,11.9,Lunch
japanese chestnuts roasted,57.0,0.2,0.8,12.8,Drink
sesame seeds toasted,45.0,3.8,1.4,2.1,Drink
cashew nuts roasted,174.0,14.3,5.1,9.0,Lunch
lupins raw,668.0,17.5,65.1,72.7,Lunch
mustard seeds ground,10.0,0.7,0.5,0.6,Lunch
mixed nuts roasted,178.0,15.4,5.2,7.6,Lunch/Dinner
salat mix alestro,61.0,5.2,0.0,2.4,Drink
chestnuts raw,309.0,3.3,3.5,66.0,Drink
pistachio nuts roasted,172.0,13.7,6.3,8.5,Lunch
walnut,33.0,3.3,0.8,0.7,Lunch
celery seeds,25.0,1.6,1.2,2.7,Lunch
hickorynuts dried,788.0,77.2,15.3,21.9,Lunch
spanish peanuts roasted,851.0,72.1,41.2,25.7,Lunch
woca seeds dried,102.0,0.3,2.2,22.6,Lunch
pecans roasted,215.0,22.6,2.8,3.9,Lunch
fennel seeds,7.0,0.3,0.3,1.0,Lunch
chinese chestnuts roasted,68.0,0.3,1.3,14.8,Drink
watermelon seed kernels dried,602.0,51.2,30.6,16.5,Lunch
macadamia nuts raw,38.0,4.0,0.4,0.7,Lunch/Dinner
pectin,163.0,0.2,0.2,45.2,Lunch
black walnut dried,31.0,3.0,1.2,0.5,Lunch
water chestnut canned,70.0,0.015,1.2,17.2,Drink
ginkgo nuts dried,98.0,0.6,2.9,20.5,Lunch
virginia peanuts raw,822.0,71.2,36.8,24.1,Lunch
valencia peanuts roasted,177.0,15.4,8.1,4.9,Lunch
nesfit diet cereal nestle,75.0,0.0,0.0,0.0,Drink
corn grits cooked,182.0,1.2,4.4,37.9,Carbs
amaranth flakes,134.0,2.7,5.9,27.0,Drink
granola,293.0,14.6,8.2,32.3,Lunch
muesli with fruit nuts,231.0,3.4,4.3,45.7,Drink
muesli master crumble,124.0,2.4,2.4,4.5,Drink
bran flakes,131.0,0.8,4.0,32.2,Drink
nut cereal,245.0,5.9,4.0,46.2,Carbs
corn flakes,108.0,0.3,1.7,24.6,Drink
corn grits dry,36.0,0.2,0.7,7.7,Carbs
Abon,280.0,28.4,9.2,0.0,Lunch
Abon haruwan,513.0,37.0,23.7,21.3,Lunch
Agar-agar,0.0,0.2,0.0,0.0,Lunch
Akar tonjong segar,45.0,0.4,1.1,10.8,Lunch
Aletoge segar,37.0,0.5,4.4,3.8,Lunch
Alpukat segar,85.0,6.5,0.9,7.7,Lunch
Ampas kacang hijau,96.0,0.6,3.7,19.1,Carbs
Ampas Tahu,414.0,18.3,26.6,41.3,Lunch/Dinner
